"模块中文","技能中文","对应领域","文件名","大小KB"
"技能治理中心","技能库浏览","legal-builder-hub","技能治理中心-技能库浏览.zip","20"
"技能治理中心","技能质量审查","legal-builder-hub","技能治理中心-技能质量审查.zip","30"
"技能治理中心","停用技能","legal-builder-hub","技能治理中心-停用技能.zip","19"
"技能治理中心","相关技能推荐","legal-builder-hub","技能治理中心-相关技能推荐.zip","20"
"技能治理中心","卸载技能","legal-builder-hub","技能治理中心-卸载技能.zip","19"
"监管合规法务","初始化访谈","regulatory-legal","监管合规法务-初始化访谈.zip","32"
"监管合规法务","个性化配置","regulatory-legal","监管合规法务-个性化配置.zip","22"
"监管合规法务","合规缺口浮现","regulatory-legal","监管合规法务-合规缺口浮现.zip","27"
"监管合规法务","合规缺口台账","regulatory-legal","监管合规法务-合规缺口台账.zip","21"
"监管合规法务","监管动态监测","regulatory-legal","监管合规法务-监管动态监测.zip","27"
"监管合规法务","事项工作区","regulatory-legal","监管合规法务-事项工作区.zip","24"
"监管合规法务","征求意见跟踪","regulatory-legal","监管合规法务-征求意见跟踪.zip","22"
"监管合规法务","政策差异分析","regulatory-legal","监管合规法务-政策差异分析.zip","25"
"监管合规法务","政策修订草案","regulatory-legal","监管合规法务-政策修订草案.zip","26"
"劳动用工法务","初始化访谈","employment-legal","劳动用工法务-初始化访谈.zip","33"
"劳动用工法务","调查备忘录","employment-legal","劳动用工法务-调查备忘录.zip","21"
"劳动用工法务","调查查询","employment-legal","劳动用工法务-调查查询.zip","21"
"劳动用工法务","调查记录补充","employment-legal","劳动用工法务-调查记录补充.zip","21"
"劳动用工法务","调查摘要","employment-legal","劳动用工法务-调查摘要.zip","21"
"劳动用工法务","个性化配置","employment-legal","劳动用工法务-个性化配置.zip","23"
"劳动用工法务","工时薪酬问答","employment-legal","劳动用工法务-工时薪酬问答.zip","26"
"劳动用工法务","记录休假事项","employment-legal","劳动用工法务-记录休假事项.zip","22"
"劳动用工法务","解除－终止劳动关系审查","employment-legal","劳动用工法务-解除－终止劳动关系审查.zip","27"
"劳动用工法务","境内外用工扩张启动","employment-legal","劳动用工法务-境内外用工扩张启动.zip","21"
"劳动用工法务","开启内部调查","employment-legal","劳动用工法务-开启内部调查.zip","21"
"劳动用工法务","跨境－异地扩张","employment-legal","劳动用工法务-跨境－异地扩张.zip","27"
"劳动用工法务","扩张事项更新","employment-legal","劳动用工法务-扩张事项更新.zip","22"
"劳动用工法务","劳动关系－用工形态识别","employment-legal","劳动用工法务-劳动关系－用工形态识别.zip","29"
"劳动用工法务","内部调查","employment-legal","劳动用工法务-内部调查.zip","30"
"劳动用工法务","事项工作区","employment-legal","劳动用工法务-事项工作区.zip","24"
"劳动用工法务","休假－假期管理","employment-legal","劳动用工法务-休假－假期管理.zip","21"
"劳动用工法务","员工手册更新","employment-legal","劳动用工法务-员工手册更新.zip","22"
"劳动用工法务","招聘录用审查","employment-legal","劳动用工法务-招聘录用审查.zip","26"
"劳动用工法务","制度－政策起草","employment-legal","劳动用工法务-制度－政策起草.zip","23"
"人工智能治理法务","初始化访谈","ai-governance-legal","人工智能治理法务-初始化访谈.zip","40"
"人工智能治理法务","个性化配置","ai-governance-legal","人工智能治理法务-个性化配置.zip","25"
"人工智能治理法务","供应商人工智能条款审查","ai-governance-legal","人工智能治理法务-供应商人工智能条款审查.zip","31"
"人工智能治理法务","监管差距分析","ai-governance-legal","人工智能治理法务-监管差距分析.zip","29"
"人工智能治理法务","人工智能系统清单","ai-governance-legal","人工智能治理法务-人工智能系统清单.zip","27"
"人工智能治理法务","人工智能影响评估","ai-governance-legal","人工智能治理法务-人工智能影响评估.zip","32"
"人工智能治理法务","人工智能政策起草","ai-governance-legal","人工智能治理法务-人工智能政策起草.zip","29"
"人工智能治理法务","事项工作区","ai-governance-legal","人工智能治理法务-事项工作区.zip","26"
"人工智能治理法务","用例分级","ai-governance-legal","人工智能治理法务-用例分级.zip","30"
"人工智能治理法务","政策漂移监测","ai-governance-legal","人工智能治理法务-政策漂移监测.zip","28"
"商事合同法务","保密协议审查","commercial-legal","商事合同法务-保密协议审查.zip","29"
"商事合同法务","初始化访谈","commercial-legal","商事合同法务-初始化访谈.zip","39"
"商事合同法务","个性化配置","commercial-legal","商事合同法务-个性化配置.zip","24"
"商事合同法务","供应商合同审查","commercial-legal","商事合同法务-供应商合同审查.zip","31"
"商事合同法务","合同审查","commercial-legal","商事合同法务-合同审查.zip","24"
"商事合同法务","合同修订沿革","commercial-legal","商事合同法务-合同修订沿革.zip","26"
"商事合同法务","软件服务主协议审查","commercial-legal","商事合同法务-软件服务主协议审查.zip","30"
"商事合同法务","审查意见管理","commercial-legal","商事合同法务-审查意见管理.zip","23"
"商事合同法务","升级审批提示","commercial-legal","商事合同法务-升级审批提示.zip","25"
"商事合同法务","事项工作区","commercial-legal","商事合同法务-事项工作区.zip","25"
"商事合同法务","续约跟踪","commercial-legal","商事合同法务-续约跟踪.zip","27"
"商事合同法务","业务摘要","commercial-legal","商事合同法务-业务摘要.zip","27"
"数据合规与个人信息保护","初始化访谈","privacy-legal","数据合规与个人信息保护-初始化访谈.zip","35"
"数据合规与个人信息保护","个人信息保护影响评估","privacy-legal","数据合规与个人信息保护-个人信息保护影响评估.zip","28"
"数据合规与个人信息保护","个人信息权利请求响应","privacy-legal","数据合规与个人信息保护-个人信息权利请求响应.zip","29"
"数据合规与个人信息保护","个性化配置","privacy-legal","数据合规与个人信息保护-个性化配置.zip","23"
"数据合规与个人信息保护","监管差距分析","privacy-legal","数据合规与个人信息保护-监管差距分析.zip","25"
"数据合规与个人信息保护","事项工作区","privacy-legal","数据合规与个人信息保护-事项工作区.zip","24"
"数据合规与个人信息保护","数据处理协议审查","privacy-legal","数据合规与个人信息保护-数据处理协议审查.zip","29"
"数据合规与个人信息保护","用例分级","privacy-legal","数据合规与个人信息保护-用例分级.zip","27"
"数据合规与个人信息保护","政策漂移监测","privacy-legal","数据合规与个人信息保护-政策漂移监测.zip","27"
"争议解决法务","案件－事项简报","litigation-legal","争议解决法务-案件－事项简报.zip","27"
"争议解决法务","保密－特权日志审查","litigation-legal","争议解决法务-保密－特权日志审查.zip","33"
"争议解决法务","初始化访谈","litigation-legal","争议解决法务-初始化访谈.zip","43"
"争议解决法务","催告－索赔函起草","litigation-legal","争议解决法务-催告－索赔函起草.zip","35"
"争议解决法务","催告－索赔事项接谈","litigation-legal","争议解决法务-催告－索赔事项接谈.zip","30"
"争议解决法务","个性化配置","litigation-legal","争议解决法务-个性化配置.zip","27"
"争议解决法务","来函应对","litigation-legal","争议解决法务-来函应对.zip","31"
"争议解决法务","请求权－权利要求对照表","litigation-legal","争议解决法务-请求权－权利要求对照表.zip","48"
"争议解决法务","事实时间线","litigation-legal","争议解决法务-事实时间线.zip","34"
"争议解决法务","事项更新","litigation-legal","争议解决法务-事项更新.zip","29"
"争议解决法务","事项工作区","litigation-legal","争议解决法务-事项工作区.zip","29"
"争议解决法务","事项关闭","litigation-legal","争议解决法务-事项关闭.zip","28"
"争议解决法务","事项接收","litigation-legal","争议解决法务-事项接收.zip","30"
"争议解决法务","诉讼文书章节起草","litigation-legal","争议解决法务-诉讼文书章节起草.zip","32"
"争议解决法务","庭审－询问准备","litigation-legal","争议解决法务-庭审－询问准备.zip","31"
"争议解决法务","外部律师状态","litigation-legal","争议解决法务-外部律师状态.zip","28"
"争议解决法务","协助调查－调取材料初筛","litigation-legal","争议解决法务-协助调查－调取材料初筛.zip","32"
"争议解决法务","争议组合状态","litigation-legal","争议解决法务-争议组合状态.zip","28"
"争议解决法务","证据保全－材料留存","litigation-legal","争议解决法务-证据保全－材料留存.zip","31"
"知识产权法务","初始化访谈","ip-legal","知识产权法务-初始化访谈.zip","37"
"知识产权法务","发明披露接收","ip-legal","知识产权法务-发明披露接收.zip","30"
"知识产权法务","个性化配置","ip-legal","知识产权法务-个性化配置.zip","23"
"知识产权法务","开源合规审查","ip-legal","知识产权法务-开源合规审查.zip","29"
"知识产权法务","平台投诉－下架通知","ip-legal","知识产权法务-平台投诉－下架通知.zip","32"
"知识产权法务","侵权初筛","ip-legal","知识产权法务-侵权初筛.zip","33"
"知识产权法务","商标－品牌检索初筛","ip-legal","知识产权法务-商标－品牌检索初筛.zip","32"
"知识产权法务","事项工作区","ip-legal","知识产权法务-事项工作区.zip","25"
"知识产权法务","停止侵权－律师函","ip-legal","知识产权法务-停止侵权－律师函.zip","35"
"知识产权法务","知识产权条款审查","ip-legal","知识产权法务-知识产权条款审查.zip","29"
"知识产权法务","知识产权组合台账","ip-legal","知识产权法务-知识产权组合台账.zip","30"
"知识产权法务","专利自由实施初筛","ip-legal","知识产权法务-专利自由实施初筛.zip","31"
"中国法律检索","中国法律深度检索","(新增)","中国法律检索-中国法律深度检索.zip","8"
"中国法学习","案例摘要","law-student","中国法学习-案例摘要.zip","22"
"中国法学习","初始化访谈","law-student","中国法学习-初始化访谈.zip","30"
"中国法学习","法考练习","law-student","中国法学习-法考练习.zip","27"
"中国法学习","法律写作点评","law-student","中国法学习-法律写作点评.zip","23"
"中国法学习","个性化配置","law-student","中国法学习-个性化配置.zip","21"
"中国法学习","记忆卡片","law-student","中国法学习-记忆卡片.zip","23"
"中国法学习","考试重点预测","law-student","中国法学习-考试重点预测.zip","23"
"中国法学习","课程大纲","law-student","中国法学习-课程大纲.zip","23"
"中国法学习","课堂问答准备","law-student","中国法学习-课堂问答准备.zip","22"
"中国法学习","四段式法律分析练习","law-student","中国法学习-四段式法律分析练习.zip","24"
"中国法学习","苏格拉底式练习","law-student","中国法学习-苏格拉底式练习.zip","22"
"中国法学习","学习会话","law-student","中国法学习-学习会话.zip","20"
"中国法学习","学习计划","law-student","中国法学习-学习计划.zip","25"
